account_manager,bl_number,job_order_date,customer_name,consignee_name,shipment_type,scope_of_work,service_type,cargo_type,carrier,vessel_code,container_count,commodity,shipment_date,terminal,shipment_location,overseas_port,gcss_updatedate,kewill_jobno,kewill_invoiceno,cro_date,service_order_id,service_order_type,container_no,container_type,vendor_name,from_location,to_location,requested_date,defect_count,defect_code,milestone_description,milestone_date,notes
NULL,208768291,2021-06-07,"JUBAIL PALLET PLANT","JUBAIL PALLET PLANT",IMPORT,IH+CCD,CY,DRY,MSL,,5,PALLETS,2021-06-03,SADMM,JUBAIL,BRAZIL,2021-05-06,VIRIA0005648,,0000-00-00,066f90e9-4b5a-47cb-8dd6-f23ab7a41485,CLR,NULL,NULL,"AWAD JARALLAH AL QAHTANI",,,2021-05-06,0,D01,"Ready for duty payment (Date)",2021-06-28,
NULL,912415933,2021-06-26,"ETC FRUIT GIDA SAN VE TIC LTD STI","ETC FRUIT GIDA SAN VE TIC LTD STI",IMPORT,IH+CCD,SD,REEF,MSL,,4,"FRESH GREEN CHIQUITA BANANAS",2021-06-20,SAJED,JEDDAH,GUAYAQUIL,2021-06-01,,,0000-00-00,0689ea8e-fe8c-48ee-a557-9dbdbd267f05,CLR,NULL,NULL,"AL WARED AL BAHRI",,,2021-06-21,0,D01,"Docs received date",0000-00-00,
NULL,912225238,2021-06-08,"ETC FRUIT GIDA SAN VE TIC LTD STI","ETC FRUIT GIDA SAN VE TIC LTD STI",IMPORT,IH+CCD,SD,REEF,MSL,,4,"FRESH GREEN CHIQUITA BANANAS",2021-05-23,SAJED,JEDDAH,GUAYAQUIL,2021-05-16,,,0000-00-00,06a2eb3f-70ff-4aab-9384-f1b4dfa91dce,TRK,MNBU0481553,REEF,UTC,JEDDAH,RIYADH,2021-05-24,0,D01,"Actual Delivery Date",2021-05-28,A
NULL,912466608,2021-06-18,"GERMAN SAUDI INDUSTRIAL CO","GERMAN SAUDI INDUSTRIAL CO",EXPORT,IH+CCO,SD,DRY,MSL,"CAP SAN TAINARO / 123W",10,"SODIUM METHYLATE SOLUTION",2021-06-12,SADMM,DAMMAM,,2021-06-06,,,2021-05-30,06c68d27-94d2-4985-80d8-e3f69cda5a91,TRK,CXTU1072184,TANK,"AWAD JARALLAH AL QAHTANI",DAMMAM,DAMMAM,2021-06-01,0,D01,"Actual Gate-in date",2021-06-08,A/G
NULL,912466608,2021-06-18,"GERMAN SAUDI INDUSTRIAL CO","GERMAN SAUDI INDUSTRIAL CO",EXPORT,IH+CCO,SD,DRY,MSL,"CAP SAN TAINARO / 123W",10,"SODIUM METHYLATE SOLUTION",2021-06-12,SADMM,DAMMAM,,2021-06-06,,,2021-05-30,06c68d27-94d2-4985-80d8-e3f69cda5a91,TRK,TCLU9025878,TANK,"AWAD JARALLAH AL QAHTANI",DAMMAM,DAMMAM,2021-06-01,0,D01,"Actual stuffing date",2021-06-06,A/S
NULL,211124647,2021-06-26,"CLASSIC FASHION APPAREL INDUSTRY LTD","CLASSIC FASHION APPAREL INDUSTRY LTD",EXPORT,IH,CY,DRY,MSL,,7,GARMENTS,2021-06-08,JOAHZTM,IRBID,JEDDAH,0000-00-00,VEZRC0000412,5611907363,2021-05-30,09054a91-abba-4be0-99bb-6d255486fb42,TRK,MRKU8259049,DRY,MULTAQA,IRBID,"AQABA TERMINAL ",2021-06-02,0,D01,"Containers pullout from terminal (Date)",2021-06-02,P/O
NULL,211124647,2021-06-26,"CLASSIC FASHION APPAREL INDUSTRY LTD","CLASSIC FASHION APPAREL INDUSTRY LTD",EXPORT,IH,CY,DRY,MSL,,7,GARMENTS,2021-06-08,JOAHZTM,IRBID,JEDDAH,0000-00-00,VEZRC0000412,5611907363,2021-05-30,09054a91-abba-4be0-99bb-6d255486fb42,TRK,TRHU4660090,DRY,MULTAQA,IRBID,"AQABA TERMINAL ",2021-06-02,0,D01,"Actual Gate-in date",2021-06-02,A/G
NULL,211124647,2021-06-26,"CLASSIC FASHION APPAREL INDUSTRY LTD","CLASSIC FASHION APPAREL INDUSTRY LTD",EXPORT,IH,CY,DRY,MSL,,7,GARMENTS,2021-06-08,JOAHZTM,IRBID,JEDDAH,0000-00-00,VEZRC0000412,5611907363,2021-05-30,09054a91-abba-4be0-99bb-6d255486fb42,TRK,MRKU2444965,DRY,MULTAQA,IRBID,"AQABA TERMINAL ",2021-06-02,0,D01,"Manifest/Bayan received date",0000-00-00,
NULL,210494145,2021-06-08,"AMMAN DAIMOND LOGISTICS","AMMAN DAIMOND LOGISTICS",EXPORT,IH,SD,DRY,MSL,,4,,2021-05-17,JOAHZTM,AMMAN,jeddah,0000-00-00,,,2021-05-03,0907c0cb-85d3-4b3e-91dc-10af1aa20e20,TRK,MRKU7809876,DRY,SORAQIA,ALKARAK,"AQABA TERMINAL",2021-05-08,0,D01,"Containers pullout from terminal (Date)",2021-05-08,P/O
NULL,210494145,2021-06-08,"AMMAN DAIMOND LOGISTICS","AMMAN DAIMOND LOGISTICS",EXPORT,IH,SD,DRY,MSL,,4,,2021-05-17,JOAHZTM,AMMAN,jeddah,0000-00-00,,,2021-05-03,0907c0cb-85d3-4b3e-91dc-10af1aa20e20,TRK,MRKU7809876,DRY,SORAQIA,ALKARAK,"AQABA TERMINAL",2021-05-08,0,D01,"Manifest/Bayan received date",0000-00-00,
